آلوده	V$آلود+PP
آلوده‌ئی	V$آلود+IND 2SG PERF
آلوده‌اش	V$آلود+PP PRO3SG
آلوده‌ام	V$آلود+IND 1SG PERF#PP PRO1SG
آلوده‌اند	V$آلود+IND 3PL PERF
آلوده‌ای	V$آلود+IND 2SG PERF
آلوده‌ایم	V$آلود+IND 1PL PERF
آلوده‌ست	V$آلود+IND 3SG PERF
آلودی	V$آلود+SUB IRRP 3SG#IND PAST 2SG
آلودیم	V$آلود+IND PAST 1PL
آمادست	V$آماد+IND 3SG PERF
آماده	V$آماد+PP
آماده‌ام	V$آماد+IND 1SG PERF#PP PRO1SG
آماده‌ای	V$آماد+IND 2SG PERF
آماده‌ایم	V$آماد+IND 1PL PERF
آماده‌ست	V$آماد+IND 3SG PERF
آمار	V$آمارد+IMP 2SG
آماس	V$آماسید+IMP 2SG
آماسد	V$آماسید+IND PRES 3SG
آمای	V$آماد+IND PRES 2SG#IMP 2SG*آمود+IND PRES 2SG#IMP 2SG
آمختت	V$آمخت+IND PAST 3SG PRO2SG
آمختن	V$آمخت+INF
آمخته	V$آمخت+PP
آمختی	V$آمخت+SUB IRRP 3SG#IND PAST 2SG
آمد	V$آمد+IND PAST 3SG
آمداست	V$آمد+IND 3SG PERF
آمدت	V$آمد+IND PAST 3SG PRO2SG
آمدست	V$آمد+IND 3SG PERF
آمدستت	V$آمد+IND 3SG PERF PRO2SG
آمدستش	V$آمد+IND 3SG PERF PRO3SG
آمدستم	V$آمد+IND 3SG PERF PRO1SG#IND 1SG PERF2
آمدستند	V$آمد+IND 3PL PERF2
آمدستی	V$آمد+IND 2SG PERF2
آمدستیم	V$آمد+IND 1PL PERF2
آمدش	V$آمد+IND PAST 3SG PRO3SG
آمدشان	V$آمد+IND PAST 3SG PRO3PL
آمدم	V$آمد+IND PAST 3SG PRO1SG#IND PAST 1SG
آمدمت	V$آمد+IND PAST 1SG PRO2SG
آمدمی	V$آمد+SUB IRRP 1SG
آمدن	V$آمد+INF
آمدنت	V$آمد+INF PRO2SG
آمدنتان	V$آمد+INF PRO2PL
آمدند	V$آمد+IND PAST 3PL
آمدندش	V$آمد+IND PAST 3PL PRO3SG
آمدندم	V$آمد+IND PAST 3PL PRO1SG
آمدندی	V$آمد+SUB IRRP 3PL
آمدنش	V$آمد+INF PRO3SG
آمدنشان	V$آمد+INF PRO3PL
آمدنم	V$آمد+INF PRO1SG
آمده	V$آمد+PP
آمده‌است	V$آمد+IND 3SG PERF
آمده‌ام	V$آمد+IND 1SG PERF#PP PRO1SG
آمده‌اند	V$آمد+IND 3PL PERF
آمده‌ای	V$آمد+IND 2SG PERF
آمده‌ایم	V$آمد+IND 1PL PERF
آمده‌ست	V$آمد+IND 3SG PERF
آمده‌ستم	V$آمد+IND 3SG PERF PRO1SG#IND 1SG PERF2
آمدی	V$آمد+SUB IRRP 3SG#IND PAST 2SG
آمدید	V$آمد+IND PAST 2PL
