آ	INT$آ+
ستونی	ADV$ستونی+
سحرآمیزی	ADV$سحرآمیز+ COP2SG
سحرگاه	ADV$سحرگاه+
سحرگاهان	ADV$سحرگاهان+
سخت	ADV$سخت+
سختست	ADV$سخت+ COP3SG
سختم	ADV$سخت+ COP1SG
سختند	ADV$سخت+ COP3PL
سخته	ADV$سخته+
سخته‌ای	ADV$سخته+ COP2SG
سخته‌ی	ADV$سخته+ COP2SG
سختی	ADV$سخت+ COP2SG
سختیم	ADV$سخت+ COP1PL
سخی	ADV$سخ+ COP2SG
سد	NUM$سد+SG
سدت	NUM$سد+SG PRO2SG
سدست	NUM$سد+SG COP3SG
سدش	NUM$سد+SG PRO3SG
سدشان	NUM$سد+SG PRO3PL
سدم	NUM$سد+SG PRO1SG#SG COP1SG
سدی	NUM$سد+SG COP2SG#SG YEH
سدید	NUM$سد+SG COP2PL
سدیست	NUM$سد+SG YEH COP3SG
سدیگر	NUM$سدیگر+SG
سراسیمه	ADV$سراسیمه+
سراسیمه‌ای	ADV$سراسیمه+ COP2SG
سراسیمه‌ی	ADV$سراسیمه+ COP2SG
سرافکنده	ADV$سرافکنده+
سرافکنده‌ام	ADV$سرافکنده+ COP1SG
سرافکنده‌ایم	ADV$سرافکنده+ COP1PL
سرافکنده‌ی	ADV$سرافکنده+ COP2SG
سرانجام	ADV$سرانجام+
سرانجامست	ADV$سرانجام+ COP3SG
سرانجامم	ADV$سرانجام+ COP1SG
سرانجامی	ADV$سرانجام+ COP2SG
سراپا	ADV$سراپا+
سراپاست	ADV$سراپا+ COP3SG
سراپای	ADV$سراپا+ COP2SG
سراپایم	ADV$سراپا+ COP1PL
سربالا	ADV$سربالا+
سربالاستی	ADV$سربالا+ COP2SG
سربالای	ADV$سربالا+ COP2SG
سربست	ADV$سربست+
سربسته	ADV$سربسته+
سربسته‌ای	ADV$سربسته+ COP2SG
سربسته‌ست	ADV$سربسته+ COP3SG
سربسته‌ی	ADV$سربسته+ COP2SG
سربسر	ADV$سربسر+
سربسرم	ADV$سربسر+ COP1SG
سرتاسر	ADV$سرتاسر+
سرتاپا	ADV$سرتاپا+
سرتاپای	ADV$سرتاپا+ COP2SG
سرجمع	ADV$سرجمع+
سرجمله	ADV$سرجمله+
سرخود	ADV$سرخود+
سرد	ADV$سرد+
سردست	ADV$سرد+ COP3SG
سردستم	ADV$سرد+ COP1SG
سردستی	ADV$سردستی+*سرد+ COP2SG
سردم	ADV$سرد+ COP1SG
سردند	ADV$سرد+ COP3PL
سردی	ADV$سرد+ COP2SG
سردید	ADV$سرد+ COP2PL
سردیم	ADV$سرد+ COP1PL
سرزده	ADV$سرزده+
سرزده‌ای	ADV$سرزده+ COP2SG
سرزده‌ست	ADV$سرزده+ COP3SG
سرسری	ADV$سرسری+
سرسریست	ADV$سرسری+ COP3SG
سرمد	ADV$سرمد+
سرمدست	ADV$سرمد+ COP3SG
سرمدی	ADV$سرمد+ COP2SG*سرمدی+
سرنگون	ADV$سرنگون+
سرنگونست	ADV$سرنگون+ COP3SG
سرنگونم	ADV$سرنگون+ COP1SG
سرنگونی	ADV$سرنگون+ COP2SG
سرپای	ADV$سرپا+ COP2SG
سرپایم	ADV$سرپا+ COP1PL
سرپوشیده	ADV$سرپوشیده+
سری	ADV$سری+
سریست	ADV$سری+ COP3SG
سریعا	ADV$سریعا+
سریم	ADV$سری+ COP1SG
سریی	ADV$سری+ COP2SG
سست	ADV$سست+
سستست	ADV$سست+ COP3SG
سستم	ADV$سست+ COP1SG
سستی	ADV$سست+ COP2SG
سست‌ام	ADV$سست+ COP1SG
سفت	ADV$سفت+
سفتست	ADV$سفت+ COP3SG
سفتم	ADV$سفت+ COP1SG
سفتند	ADV$سفت+ COP3PL
سفتی	ADV$سفت+ COP2SG
سلام	INT$سلام+
سلامت	INT$سلام+ PRO2SG
سلامش	INT$سلام+ PRO3SG
سلامشان	INT$سلام+ PRO3PL
سلامم	INT$سلام+ PRO1SG
سنا	ADV$سنا+
سناست	ADV$سنا+ COP3SG
سنام	ADV$سنا+ COP1SG
سنای	ADV$سنا+ COP2SG
سنجیده	ADV$سنجیده+
سنجیده‌اند	ADV$سنجیده+ COP3PL
سنجیده‌ی	ADV$سنجیده+ COP2SG
سه	NUM$سه+SG
سهت	NUM$سه+SG PRO2SG
سهرا	NUM$سه+SG POSTP
سهم	NUM$سه+SG PRO1SG
سهمی	NUM$سه+SG PRO1SG COP2SG#SG PRO1SG YEH
سه‌ای	NUM$سه+SG COP2SG
سه‌مان	NUM$سه+SG PRO1PL
سه‌گانه	ADV$سه‌گانه+
سه‌ی	NUM$سه+SG COP2SG#SG EZ
سه‌یی	NUM$سه+SG YEH
سوا	ADV$سوا+
سواره	ADV$سواره+
سواره‌ای	ADV$سواره+ COP2SG
سواره‌ایم	ADV$سواره+ COP1PL
سواره‌ی	ADV$سواره+ COP2SG
سوام	ADV$سوا+ COP1SG
سوای	ADV$سوا+ COP2SG
سوسو	ADV$سوسو+
سوم	NUM$سوم+SG
سومان	NUM$سوم+PL
سومی	NUM$سومی+SG*سوم+SG COP2SG#SG YEH
سومین	NUM$سومین+SG
سوم‌شان	NUM$سوم+SG PRO3PL
سپس	ADV$سپس+
سپسستی	ADV$سپس+ COP2SG
سپسی	ADV$سپس+ COP2SG
سپیده‌دم	ADV$سپیده‌دم+
سپیده‌دمست	ADV$سپیده‌دم+ COP3SG
سپیده‌دمی	ADV$سپیده‌دم+ COP2SG
سگان	NUM$سه+PL
سگانت	NUM$سه+PL PRO2SG
سگانست	NUM$سه+PL COP3SG
سگانش	NUM$سه+PL PRO3SG
سگانم	NUM$سه+PL PRO1SG#PL COP1SG
سگانند	NUM$سه+PL COP3PL
سگانی	NUM$سه+PL YEH#PL COP2SG
سگان‌شان	NUM$سه+PL PRO3PL
سی	NUM$سی+SG
سیت	NUM$سی+SG PRO2SG
سیتم	NUM$سی+SG PRO2SG COP1SG
سیزده	NUM$سیزده+SG
سیزدهم	NUM$سیزده+SG PRO1SG*سیزدهم+SG
سیسد	NUM$سیسد+SG
سیصد	NUM$سیصد+SG
سیصدست	NUM$سیصد+SG COP3SG
سیم	NUM$سی+SG PRO1SG#SG COP1SG
سیما	ADV$سیما+
سیماست	ADV$سیما+ COP3SG
سیماستی	ADV$سیما+ COP2SG
سیمان	NUM$سی+SG PRO1PL
سیمای	ADV$سیما+ COP2SG
سیمایم	ADV$سیما+ COP1PL
سیمست	NUM$سی+SG PRO1SG COP3SG
سیمم	NUM$سی+SG PRO1SG COP1SG
سیمند	NUM$سی+SG PRO1SG COP3PL
سیمی	NUM$سی+SG PRO1SG COP2SG#SG PRO1SG YEH*سیمی+SG
سیمیم	NUM$سی+SG PRO1SG COP1PL#SG PRO1SG YEH COP1SG*سیمی+SG PRO1SG#SG COP1SG
سیمین	NUM$سیمین+SG
سیمینت	NUM$سیمین+SG PRO2SG
سیمینست	NUM$سیمین+SG COP3SG
سیمینش	NUM$سیمین+SG PRO3SG
سیمینم	NUM$سیمین+SG PRO1SG#SG COP1SG
سیمینی	NUM$سیمین+SG COP2SG#SG YEH
سیم‌ام	NUM$سی+SG PRO1SG COP1SG
سیم‌اند	NUM$سی+SG PRO1SG COP3PL
سیکی	NUM$سیکی+SG
سیکیست	NUM$سیکی+SG COP3SG
سیکیش	NUM$سیکی+SG PRO3SG
سیکیی	NUM$سیکی+SG COP2SG#SG EZ
سیی	NUM$سی+SG COP2SG#SG EZ
سی‌ام	NUM$سی+SG COP1SG*سی‌ام+SG
ش	CONJ$+ PRO3SG&P$+ PRO3SG
شاباش	INT$شاباش+
شادان	ADV$شادان+
شادانست	ADV$شادان+ COP3SG
شادانم	ADV$شادان+ COP1SG
شادانند	ADV$شادان+ COP3PL
شادانی	ADV$شادان+ COP2SG
شادمان	ADV$شادمان+
شادمانست	ADV$شادمان+ COP3SG
شادمانستی	ADV$شادمان+ COP2SG
شادمانم	ADV$شادمان+ COP1SG
شادمانند	ADV$شادمان+ COP3PL
شادمانی	ADV$شادمان+ COP2SG
شادمانیم	ADV$شادمان+ COP1PL
شادیانه	ADV$شادیانه+
شاعرانه	ADV$شاعرانه+
شاعرانه‌ی	ADV$شاعرانه+ COP2SG
شان	CONJ$+ PRO3PL&P$+ PRO3PL
شانزده	NUM$شانزده+SG
شانزدهم	NUM$شانزده+SG PRO1SG
شاهانه	ADV$شاهانه+
شاهانه‌ست	ADV$شاهانه+ COP3SG
شاهانه‌ی	ADV$شاهانه+ COP2SG
شاهوار	ADV$شاهوار+
شاهوارستی	ADV$شاهوار+ COP2SG
شاهوارم	ADV$شاهوار+ COP1SG
شاهواری	ADV$شاهوار+ COP2SG
شب	ADV$شب+
شباروز	ADV$شباروز+
شباروزی	ADV$شباروز+ COP2SG
شبانه	ADV$شبانه+
شبانه‌اند	ADV$شبانه+ COP3PL
شبانه‌ای	ADV$شبانه+ COP2SG
شبانه‌ست	ADV$شبانه+ COP3SG
شبانه‌ی	ADV$شبانه+ COP2SG
شبانگاه	ADV$شبانگاه+
شبست	ADV$شب+ COP3SG
شبستی	ADV$شب+ COP2SG
شبم	ADV$شب+ COP1SG
شبند	ADV$شب+ COP3PL
شبگیران	ADV$شبگیران+
شبی	ADV$شب+ COP2SG
شبیم	ADV$شب+ COP1PL
شب‌ست	ADV$شب+ COP3SG
شتابان	ADV$شتابان+
شتابانی	ADV$شتابان+ COP2SG
شتابانیم	ADV$شتابان+ COP1PL
شتابی	ADV$شتابی+
شتابیم	ADV$شتابی+ COP1SG
شخصا	ADV$شخصا+
شرق	INT$شرق+
شرقا	ADV$شرقا+
شرقت	INT$شرق+ PRO2SG
شرقش	INT$شرق+ PRO3SG
شرقم	INT$شرق+ PRO1SG
شست	NUM$شست+SG
شستت	NUM$شست+SG PRO2SG
شستست	NUM$شست+SG COP3SG
شستستی	NUM$شست+SG COP2SG
شستش	NUM$شست+SG PRO3SG
شستشان	NUM$شست+SG PRO3PL
شستم	NUM$شست+SG PRO1SG#SG COP1SG
شستمی	NUM$شست+SG PRO1SG COP2SG#SG PRO1SG YEH
شستند	NUM$شست+SG COP3PL
شستها	NUM$شست+PL
شستی	NUM$شست+SG COP2SG#SG YEH
شستیم	NUM$شست+SG YEH COP1SG#SG COP1PL
شستیی	NUM$شست+SG YEH COP2SG
شش	NUM$شش+SG
ششست	NUM$شش+SG COP3SG
ششم	NUM$شش+SG PRO1SG#SG COP1SG
ششی	NUM$شش+SG COP2SG#SG YEH
ششیم	NUM$شش+SG YEH COP1SG#SG COP1PL
شصت	NUM$شصت+SG
شصتت	NUM$شصت+SG PRO2SG
شصتش	NUM$شصت+SG PRO3SG
شل	ADV$شل+
شلی	ADV$شل+ COP2SG
شما	PRO$شما+SG
شمارا	PRO$شما+SG POSTP
شماست	PRO$شما+SG COP3SG
شماش	PRO$شما+SG PRO3SG
شمامم	PRO$شما+SG PRO1SG COP1SG
شماها	PRO$شما+PL
شمایم	PRO$شما+SG PRO1SG#SG COP1PL
شمایی	PRO$شما+SG YEH
شماییم	PRO$شما+SG YEH COP1SG
شمرده	ADV$شمرده+
شمرده‌است	ADV$شمرده+ COP3SG
شمرده‌ای	ADV$شمرده+ COP2SG
شمرده‌ست	ADV$شمرده+ COP3SG
شکسته‌بسته	ADV$شکسته‌بسته+
شیرانه	ADV$شیرانه+
شیرانه‌ی	ADV$شیرانه+ COP2SG
شیرین	ADV$شیرین+
شیرینست	ADV$شیرین+ COP3SG
شیرینم	ADV$شیرین+ COP1SG
شیرینند	ADV$شیرین+ COP3PL
شیرینی	ADV$شیرین+ COP2SG
شیرینید	ADV$شیرین+ COP2PL
صاف	ADV$صاف+
صافست	ADV$صاف+ COP3SG
صافم	ADV$صاف+ COP1SG
صافی	ADV$صاف+ COP2SG
صافید	ADV$صاف+ COP2PL
صافیم	ADV$صاف+ COP1PL
صاف‌ام	ADV$صاف+ COP1SG
صبح	ADV$صبح+
صبحدم	ADV$صبحدم+
صبحدمم	ADV$صبحدم+ COP1SG
صبحدمی	ADV$صبحدم+ COP2SG
صبحست	ADV$صبح+ COP3SG
صبحم	ADV$صبح+ COP1SG
صبحی	ADV$صبح+ COP2SG
صبح‌گاه	ADV$صبح‌گاه+
صحیح	ADV$صحیح+
صحیحا	ADV$صحیحا+
صد	NUM$صد+SG
صدت	NUM$صد+SG PRO2SG
صدرا	NUM$صد+SG POSTP
صدست	NUM$صد+SG COP3SG
صدش	NUM$صد+SG PRO3SG
صدم	NUM$صد+SG PRO1SG#SG COP1SG
صدها	NUM$صد+PL
صدی	NUM$صد+SG COP2SG#SG YEH
صدید	NUM$صد+SG COP2PL
صدیم	NUM$صد+SG YEH COP1SG#SG COP1PL
صرف	ADV$صرف+
صرفا	ADV$صرفا+
صرفست	ADV$صرف+ COP3SG
صرفم	ADV$صرف+ COP1SG
صرفی	ADV$صرف+ COP2SG
صریح	ADV$صریح+
صوره	ADV$صوره+
صوفیانه	ADV$صوفیانه+
صوفیانه‌ی	ADV$صوفیانه+ COP2SG
ضعف	ADV$ضعف+
ضعفم	ADV$ضعف+ COP1SG
ضعفی	ADV$ضعف+ COP2SG
ضعفیم	ADV$ضعف+ COP1PL
ضعیفی	ADV$ضعیفی+
ضعیفیم	ADV$ضعیفی+ COP1SG
طبعا	ADV$طبعا+
طوعا	ADV$طوعا+
ظاهرا	ADV$ظاهرا+
ظلما	ADV$ظلما+
عاده	ADV$عاده+
عارفانه	ADV$عارفانه+
عاریه	ADV$عاریه+
عاریه‌ام	ADV$عاریه+ COP1SG
عاریه‌ست	ADV$عاریه+ COP3SG
عاریه‌ستم	ADV$عاریه+ COP1SG
عاشر	NUM$عاشر+SG
عاشرت	NUM$عاشر+SG PRO2SG
عاشقانه	ADV$عاشقانه+
عاشقانه‌ام	ADV$عاشقانه+ COP1SG
عاشقانه‌ای	ADV$عاشقانه+ COP2SG
عاشقانه‌ی	ADV$عاشقانه+ COP2SG
عاقبت	ADV$عاقبت+
عاقبتم	ADV$عاقبت+ COP1SG
عاقبتند	ADV$عاقبت+ COP3PL
عاقبتی	ADV$عاقبت+ COP2SG
عاقبت‌الامر	ADV$عاقبت‌الامر+
عاقلانه	ADV$عاقلانه+
عالما	ADV$عالما+
عامه	PRO$عامه+SG
عامه‌ام	PRO$عامه+SG PRO1SG#SG COP1SG
عامه‌ای	PRO$عامه+SG COP2SG
عامه‌ایم	PRO$عامه+SG COP1PL
عامه‌ی	PRO$عامه+SG COP2SG#SG EZ
عامیانه	ADV$عامیانه+
عبث	ADV$عبث+
عجب	ADV$عجب+
عجبا	ADV$عجبا+
عجبست	ADV$عجب+ COP3SG
عجبم	ADV$عجب+ COP1SG
عجبند	ADV$عجب+ COP3PL
عجبی	ADV$عجب+ COP2SG
عجب‌ست	ADV$عجب+ COP3SG
عددی	ADV$عددی+
عددیست	ADV$عددی+ COP3SG
عدل	ADV$عدل+
عدلست	ADV$عدل+ COP3SG
عدلم	ADV$عدل+ COP1SG
عدلند	ADV$عدل+ COP3PL
عدلی	ADV$عدل+ COP2SG
عدل‌اند	ADV$عدل+ COP3PL
عرفا	ADV$عرفا+
عصر	ADV$عصر+
عصرم	ADV$عصر+ COP1SG
عصری	ADV$عصر+ COP2SG
عقب	ADV$عقب+
عقبست	ADV$عقب+ COP3SG
عقبم	ADV$عقب+ COP1SG
عقبی	ADV$عقب+ COP2SG
عقلا	ADV$عقلا+
علی‌الاجمال	ADV$علی‌الاجمال+
علی‌الاطلاق	ADV$علی‌الاطلاق+
علی‌الخصوص	ADV$علی‌الخصوص+
علی‌الدوام	ADV$علی‌الدوام+
علی‌الصباح	ADV$علی‌الصباح+
علی‌رغم	ADV$علی‌رغم+
عمدا	ADV$عمدا+
عمدی	ADV$عمدی+
عملی	ADV$عملی+
عموم	PRO$عموم+SG
عمیم	PRO$عمیم+SG
عنقریب	ADV$عنقریب+
عوضی	ADV$عوضی+
عوعو	INT$عوعو+
عیان	ADV$عیان+
عیانست	ADV$عیان+ COP3SG
عیانستی	ADV$عیان+ COP2SG
عیانم	ADV$عیان+ COP1SG
عیانی	ADV$عیان+ COP2SG
عیانید	ADV$عیان+ COP2PL
عیانیم	ADV$عیان+ COP1PL
عینا	ADV$عینا+
عینای	ADV$عینا+ COP2SG
غافلانه	ADV$غافلانه+
غالبا	ADV$غالبا+
غالبانه	ADV$غالبانه+
غایبانه	ADV$غایبانه+
غایبانه‌ی	ADV$غایبانه+ COP2SG
غبا	ADV$غبا+
غبای	ADV$غبا+ COP2SG
غر	INT$غر+
غربا	ADV$غربا+
غرت	INT$غر+ PRO2SG
غرش	INT$غر+ PRO3SG
غرغر	INT$غرغر+
غرغرم	INT$غرغر+ PRO1SG
غرم	INT$غر+ PRO1SG
غریبانه	ADV$غریبانه+
غفله	ADV$غفله+
غلامانه	ADV$غلامانه+
غلط‌انداز	ADV$غلط‌انداز+
غلغل	INT$غلغل+
غلغلش	INT$غلغل+ PRO3SG
غلغلم	INT$غلغل+ PRO1SG
فاش	ADV$فاش+
فاشست	ADV$فاش+ COP3SG
فاشم	ADV$فاش+ COP1SG
فاشی	ADV$فاش+ COP2SG
فاشیم	ADV$فاش+ COP1PL
فراتر	ADV$فراتر+
فراوان	ADV$فراوان+
فراوانست	ADV$فراوان+ COP3SG
فراوانم	ADV$فراوان+ COP1SG
فراوانند	ADV$فراوان+ COP3PL
فراوانی	ADV$فراوان+ COP2SG
فردا	ADV$فردا+
فرداست	ADV$فردا+ COP3SG
فرداستی	ADV$فردا+ COP2SG
فردام	ADV$فردا+ COP1SG
فردای	ADV$فردا+ COP2SG
فردایم	ADV$فردا+ COP1PL
فرود	ADV$فرود+
فرودست	ADV$فرود+ COP3SG
فرودستی	ADV$فرود+ COP2SG
فرودم	ADV$فرود+ COP1SG
فرودند	ADV$فرود+ COP3PL
فرودی	ADV$فرود+ COP2SG
فزون	ADV$فزون+
فزونست	ADV$فزون+ COP3SG
فزونم	ADV$فزون+ COP1SG
فزونند	ADV$فزون+ COP3PL
فزونی	ADV$فزون+ COP2SG
فسوس	INT$فسوس+
فسوست	INT$فسوس+ PRO2SG
فسوسم	INT$فسوس+ PRO1SG
فشرده	ADV$فشرده+
فغان	INT$فغان+
فغانت	INT$فغان+ PRO2SG
فغانش	INT$فغان+ PRO3SG
فغانشان	INT$فغان+ PRO3PL
فغانم	INT$فغان+ PRO1SG
فقط	ADV$فقط+
فقیرانه	ADV$فقیرانه+
فلان	PRO$فلان+SG
فلانت	PRO$فلان+SG PRO2SG
فلانرا	PRO$فلان+SG POSTP
فلانست	PRO$فلان+SG COP3SG
فلانم	PRO$فلان+SG PRO1SG#SG COP1SG
فلانند	PRO$فلان+SG COP3PL
فلانی	PRO$فلانی+SG*فلان+SG COP2SG#SG YEH
فلانیست	PRO$فلانی+SG COP3SG*فلان+SG YEH COP3SG
فلانیش	PRO$فلانی+SG PRO3SG
فهمیده‌ام	ADV$فهمیده+ COP1SG
فهمیده‌اند	ADV$فهمیده+ COP3PL
فهمیده‌ی	ADV$فهمیده+ COP2SG
فور	ADV$فور+
فورم	ADV$فور+ COP1SG
فکیف	INT$فکیف+
فی‌الجمله	ADV$فی‌الجمله+
فی‌الحال	ADV$فی‌الحال+
فی‌الحقیقه	ADV$فی‌الحقیقه+
فی‌المثل	ADV$فی‌المثل+
قائم	ADV$قائم+
قائمست	ADV$قائم+ COP3SG
قائمند	ADV$قائم+ COP3PL
قائمی	ADV$قائم+ COP2SG
قاصد	ADV$قاصد+
قاصدا	ADV$قاصدا+
قاصدست	ADV$قاصد+ COP3SG
قاصدم	ADV$قاصد+ COP1SG
قاصدی	ADV$قاصد+ COP2SG
قاصدیم	ADV$قاصد+ COP1PL
قاصر	ADV$قاصر+
قاصرست	ADV$قاصر+ COP3SG
قاصرم	ADV$قاصر+ COP1SG
قاصری	ADV$قاصر+ COP2SG
قاعده	ADV$قاعده+
قاعده‌ای	ADV$قاعده+ COP2SG
قاعده‌ایم	ADV$قاعده+ COP1PL
قاعده‌ست	ADV$قاعده+ COP3SG
قاعده‌ی	ADV$قاعده+ COP2SG
قالبی	ADV$قالبی+
قالبیست	ADV$قالبی+ COP3SG
قانونی	ADV$قانونی+
قانونیست	ADV$قانونی+ COP3SG
قایم	ADV$قایم+
قایمست	ADV$قایم+ COP3SG
قایمم	ADV$قایم+ COP1SG
قایمند	ADV$قایم+ COP3PL
قایمی	ADV$قایم+ COP2SG
قدی	ADV$قدی+
قدیم	ADV$قدی+ COP1SG*قدیم+
قدیما	ADV$قدیما+
قدیمست	ADV$قدیم+ COP3SG
قدیمم	ADV$قدیم+ COP1SG
قدیمی	ADV$قدیم+ COP2SG
قدیمیم	ADV$قدیم+ COP1PL
قرص	ADV$قرص+
قرصم	ADV$قرص+ COP1SG
قرصی	ADV$قرص+ COP2SG
قرقر	INT$قرقر+
قریبا	ADV$قریبا+
قصدی	ADV$قصدی+
قطعا	ADV$قطعا+
قلابی	ADV$قلابی+
قلابیم	ADV$قلابی+ COP1SG
قلبا	ADV$قلبا+
قلما	ADV$قلما+
قلندرانه	ADV$قلندرانه+
قلیلا	ADV$قلیلا+
قولا	ADV$قولا+
لا	NUM$لا+SG
لابد	ADV$لابد+
لات	NUM$لا+SG PRO2SG
لاتی	NUM$لا+SG PRO2SG COP2SG#SG PRO2SG YEH&ADV$لاتی+
لاتیم	NUM$لا+SG PRO2SG YEH COP1SG#SG PRO2SG COP1PL&ADV$لاتی+ COP1SG
لاجرم	ADV$لاجرم+
لاجرمم	ADV$لاجرم+ COP1SG
لاریب	ADV$لاریب+
لاست	NUM$لا+SG COP3SG
لاستی	NUM$لا+SG COP2SG
لاش	NUM$لا+SG PRO3SG
لاشان	NUM$لا+SG PRO3PL
لاشک	ADV$لاشک+
لاشی	NUM$لا+SG PRO3SG COP2SG#SG PRO3SG YEH
لاشیست	NUM$لا+SG PRO3SG YEH COP3SG
لاشیم	NUM$لا+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
لاشیی	NUM$لا+SG PRO3SG YEH COP2SG
لاشی‌اند	NUM$لا+SG PRO3SG YEH COP3PL
لاشی‌ست	NUM$لا+SG PRO3SG YEH COP3SG
لاغیر	PRO$لاغیر+SG
لاغیری	PRO$لاغیر+SG COP2SG#SG YEH
لام	NUM$لا+SG PRO1SG#SG COP1SG
لامانی	NUM$لا+SG PRO1PL COP2SG#SG PRO1PL YEH
لامانیست	NUM$لا+SG PRO1PL YEH COP3SG
لامحاله	ADV$لامحاله+
لامم	NUM$لا+SG PRO1SG COP1SG
لامی	NUM$لا+SG PRO1SG COP2SG#SG PRO1SG YEH
لای	NUM$لا+SG COP2SG#SG EZ
لایت	NUM$لا+SG PRO2SG
لاید	NUM$لا+SG COP2PL
لایزال	ADV$لایزال+
لایزالی	ADV$لایزال+ COP2SG
لایی	NUM$لا+SG YEH
لاییی	NUM$لا+SG YEH COP2SG
لخت‌لخت	ADV$لخت‌لخت+
لله	ADV$لله+
لله‌الحمد	INT$لله‌الحمد+
لله‌ام	ADV$لله+ COP1SG
لهذا	ADV$لهذا+
لک	NUM$لک+SG
لکان	NUM$لک+PL
لکش	NUM$لک+SG PRO3SG
لکم	NUM$لک+SG PRO1SG#SG COP1SG
لکی	NUM$لک+SG COP2SG#SG YEH
م	CONJ$+ PRO1SG&P$+ PRO1SG
ما	PRO$ما+SG
مائی	PRO$ما+SG YEH
مائیم	PRO$ما+SG YEH COP1SG
مات	PRO$ما+SG PRO2SG
ماتست	PRO$ما+SG PRO2SG COP3SG
ماتم	PRO$ما+SG PRO2SG COP1SG
ماتند	PRO$ما+SG PRO2SG COP3PL
ماتی	PRO$ما+SG PRO2SG COP2SG#SG PRO2SG YEH
ماتیم	PRO$ما+SG PRO2SG YEH COP1SG#SG PRO2SG COP1PL
مارا	PRO$ما+SG POSTP
ماست	PRO$ما+SG COP3SG
ماستی	PRO$ما+SG COP2SG
ماش	PRO$ما+SG PRO3SG
ماشانی	PRO$ما+SG PRO3PL YEH#SG PRO3PL COP2SG
ماشی	PRO$ما+SG PRO3SG COP2SG#SG PRO3SG YEH
مالا	ADV$مالا+
مالای	ADV$مالا+ COP2SG
مام	PRO$ما+SG PRO1SG#SG COP1SG
مامانیم	PRO$ما+SG PRO1PL YEH COP1SG#SG PRO1PL COP1PL
مامی	PRO$ما+SG PRO1SG COP2SG#SG PRO1SG YEH
مامید	PRO$ما+SG PRO1SG COP2PL
مان	CONJ$+ PRO1PL&P$+ PRO1PL
ماند	PRO$ما+SG COP3PL
ماها	PRO$ماها+SG*ما+PL
ماهای	PRO$ماها+SG COP2SG#SG EZ*ما+PL EZ#PL COP2SG
مای	PRO$ما+SG COP2SG#SG EZ
مایم	PRO$ما+SG PRO1SG#SG COP1PL
مایمانی	PRO$ما+SG PRO1PL COP2SG#SG PRO1PL YEH
مایی	PRO$ما+SG YEH
ماییم	PRO$ما+SG YEH COP1SG
متصل	ADV$متصل+
متصلست	ADV$متصل+ COP3SG
متصلم	ADV$متصل+ COP1SG
متصلی	ADV$متصل+ COP2SG
متصلیم	ADV$متصل+ COP1PL
مثلا	ADV$مثلا+
مجازی	ADV$مجازی+
مجازیست	ADV$مجازی+ COP3SG
مجازیم	ADV$مجازی+ COP1SG
مجازیند	ADV$مجازی+ COP3PL
مجانا	ADV$مجانا+
مجملا	ADV$مجملا+
محرمانه	ADV$محرمانه+
محکم	ADV$محکم+
محکمست	ADV$محکم+ COP3SG
محکمم	ADV$محکم+ COP1SG
محکمی	ADV$محکم+ COP2SG
مختصر	ADV$مختصر+
مختصرست	ADV$مختصر+ COP3SG
مختصرم	ADV$مختصر+ COP1SG
مختصرند	ADV$مختصر+ COP3PL
مختصری	ADV$مختصری+*مختصر+ COP2SG
مختصریست	ADV$مختصری+ COP3SG
مختصریم	ADV$مختصری+ COP1SG*مختصر+ COP1PL
مخلص	PRO$مخلص+SG
مخلصا	ADV$مخلصا+
مخلصان	PRO$مخلص+PL
مخلصانی	PRO$مخلص+PL YEH#PL COP2SG
مخلصت	PRO$مخلص+SG PRO2SG
مخلصش	PRO$مخلص+SG PRO3SG
مخلصم	PRO$مخلص+SG PRO1SG#SG COP1SG
مخلصهات	PRO$مخلص+PL PRO2SG
مخلصی	PRO$مخلص+SG COP2SG#SG YEH
مدام	ADV$مدام+
مدامست	ADV$مدام+ COP3SG
مدامم	ADV$مدام+ COP1SG
مدامی	ADV$مدام+ COP2SG
مدتها	ADV$مدتها+
مدتهاست	ADV$مدتها+ COP3SG
مرتب	ADV$مرتب+
مرتبند	ADV$مرتب+ COP3PL
مرحبا	INT$مرحبا+
مرحبام	INT$مرحبا+ PRO1SG
مرحمه	ADV$مرحمه+
مردانه	ADV$مردانه+
مردانه‌اند	ADV$مردانه+ COP3PL
مردانه‌ای	ADV$مردانه+ COP2SG
مردانه‌ی	ADV$مردانه+ COP2SG
مردم	ADV$مردم+
مردمست	ADV$مردم+ COP3SG
مردمم	ADV$مردم+ COP1SG
مردمند	ADV$مردم+ COP3PL
مردمی	ADV$مردم+ COP2SG
مردمیم	ADV$مردم+ COP1PL
مردوار	ADV$مردوار+
مرموز	ADV$مرموز+
مرموزم	ADV$مرموز+ COP1SG
مساوی	ADV$مساوی+
مساویست	ADV$مساوی+ COP3SG
مساویند	ADV$مساوی+ COP3PL
مستانه	ADV$مستانه+
مستانه‌ام	ADV$مستانه+ COP1SG
مستانه‌ای	ADV$مستانه+ COP2SG
مستانه‌ایم	ADV$مستانه+ COP1PL
مستانه‌ی	ADV$مستانه+ COP2SG
مسخره‌وار	ADV$مسخره‌وار+
مشفقانه	ADV$مشفقانه+
مشوش	ADV$مشوش+
مشوشست	ADV$مشوش+ COP3SG
مشوشم	ADV$مشوش+ COP1SG
مشوشی	ADV$مشوش+ COP2SG
